,kanana_ce,kanana_ntl,kanana_ntl_sal,kanana_sal,kanana_wntl,kanana_wntl_sal
overall,0.698,0.732,0.731,0.685,0.734,0.722
task_1,0.594,0.649,0.625,0.576,0.656,0.635
content_1,0.523,0.577,0.549,0.498,0.586,0.555
content_2,0.448,0.536,0.537,0.449,0.554,0.547
content_3,0.951,0.958,0.956,0.95,0.958,0.956
organization_1,0.282,0.348,0.342,0.259,0.408,0.365
organization_2,0.563,0.613,0.594,0.543,0.621,0.601
expression_1,0.3,0.35,0.363,0.272,0.396,0.385
expression_2,0.772,0.815,0.821,0.712,0.832,0.803
average,0.57,0.62,0.613,0.549,0.638,0.619
